Edmonton Oilers,Edmonton ,Western,Pacific,1990,5,1972
Calgary Flames,Calgary,Western,Pacific,1989,1,1980
Montreal Canadiens ,Montreal,Eastern,Atlantic,1993,24,1917
Vancouver Canucks,Vancouver,Western,Pacific,0,0,1970
Boston Bruins,Boston,Eastern,Atlantic,2011,6,1924
Toronto Maple Leafs,Toronto,Eastern,Atlantic,1967,13,1917
New York Rangers,New York,Eastern,Metropolitan,1994,4,1926
Detroit Red Wings,Detroit,Eastern,Atlantic,2008,11,1926
Florida Panthers,Florida,Eastern,Atlantic,2024,1,1993
Winnipeg Jets,Winnipeg,Western,Central,0,0,1999
Washington Capitals,Washington,Eastern,Metropolitan,2018,1,1974
Dallas Stars,Dallas,Western,Central,1999,1,1967
Los Angeles Kings,Los Angeles,Western,Pacific,2014,2,1967
